0x0	0xd
0x33f3B0x26f6B0x53e	0x3404B0x26f6B0x53e
0x3408B0x270dB0x53e	0x341aB0x270dB0x53e
0x3408B0x271dB0x53e	0x341aB0x271dB0x53e
0x25cbB0x573	0x25d9B0x573
0x33f3B0x25dcB0x573	0x3404B0x25dcB0x573
0x25cbB0x5b3	0x25d9B0x5b3
0x33f3B0x25dcB0x5b3	0x3404B0x25dcB0x5b3
0x15f7B0x5e2	0x160dB0x5e2
0x1611B0x5e2	0x161cB0x5e2
0x28afB0x5f3	0x28c0B0x5f3
0x341eB0x28c3B0x5f3	0x342fB0x28c3B0x5f3
0x33f3B0xec96eB0x5f3	0x3404B0xec96eB0x5f3
0x1ed8B0x2121B0x628	0x1ee4B0x2121B0x628
0x260aB0x65d	0x2619B0x65d
0x33f3B0x261cB0x65d	0x3404B0x261cB0x65d
0x33f3B0x2627B0x65d	0x3404B0x2627B0x65d
0x2234B0x16f6B0x68c	0x2240B0x16f6B0x68c
0x2257B0x16f6B0x68c	0x2265B0x16f6B0x68c
0x27e2B0x6bd	0x27f1B0x6bd
0x33f3B0x27f4B0x6bd	0x3404B0x27f4B0x6bd
0x260aB0x6f2	0x2619B0x6f2
0x33f3B0x261cB0x6f2	0x3404B0x261cB0x6f2
0x33f3B0x2627B0x6f2	0x3404B0x2627B0x6f2
0x25cbB0x727	0x25d9B0x727
0x33f3B0x25dcB0x727	0x3404B0x25dcB0x727
0x2935B0x75c	0x2946B0x75c
0x25baB0x2949B0x75c	0x25c7B0x2949B0x75c
0x25a3B0x2953B0x75c	0x25b6B0x2953B0x75c
0x2692B0x7f5	0x26a3B0x7f5
0x33f3B0x26a6B0x7f5	0x3404B0x26a6B0x7f5
0x33f3B0xec869B0x7f5	0x3404B0xec869B0x7f5
0x25cbB0x815	0x25d9B0x815
0x33f3B0x25dcB0x815	0x3404B0x25dcB0x815
0x27e2B0x835	0x27f1B0x835
0x33f3B0x27f4B0x835	0x3404B0x27f4B0x835
0x25cbB0x8a7	0x25d9B0x8a7
0x33f3B0x25dcB0x8a7	0x3404B0x25dcB0x8a7
0x2295B0x219cB0x8c7	0x22a0B0x219cB0x8c7
0x25eeB0x1c05	0x25fcB0x1c05
0x33f3B0x25ffB0x1c05	0x3404B0x25ffB0x1c05
0x28e9B0x2ce	0x28fbB0x2ce
0x2908B0x2ce	0x2926B0x2ce
0x25baB0x28feB0x2ce	0x25c7B0x28feB0x2ce
0x2575B0x2929B0x2ce	0x2588B0x2929B0x2ce
0x258bB0x2929B0x2ce	0x259fB0x2929B0x2ce
0x2564B0x2929B0x2ce	0x2572B0x2929B0x2ce
0x28e9B0x85e	0x28fbB0x85e
0x2908B0x85e	0x2926B0x85e
0x25baB0x28feB0x85e	0x25c7B0x28feB0x85e
0x2575B0x2929B0x85e	0x2588B0x2929B0x85e
0x258bB0x2929B0x85e	0x259fB0x2929B0x85e
0x2564B0x2929B0x85e	0x2572B0x2929B0x85e
0x2301B0x221fB0x2076	0x2319B0x221fB0x2076
0x2334B0x221fB0x2076	0x2350B0x221fB0x2076
0x2351B0x221fB0x2076	0x2380B0x221fB0x2076
0x2319B0x221fB0x2076	0x2333B0x221fB0x2076
0x10b1B0x414	0x1107B0x414
0x1130B0x414	0x1144B0x414
0x1107B0x414	0x110fB0x414
0x1381B0x461	0x1398B0x461
0x1399B0x461	0x13c2B0x461
0x1358B0x461	0x1361B0x461
0x1361B0x461	0x136bB0x461
0x25cbB0x136cB0x461	0x25d9B0x136cB0x461
0x33f3B0x25dcB0x136cB0x461	0x3404B0x25dcB0x136cB0x461
0x14f6B0x54d	0x150cB0x54d
0x1510B0x54d	0x151bB0x54d
0x16d90x1689B0x66c	0x16e40x1689B0x66c
0x16bf0x1689B0x66c	0x16d50x1689B0x66c
0x16d90x1781B0x701	0x16e40x1781B0x701
0x16bf0x1781B0x701	0x16d50x1781B0x701
0x1a1bB0x804	0x1a31B0x804
0x1a35B0x804	0x1a40B0x804
0x23c7B0x942	0x23f8B0x942
0x2408B0x942	0x2417B0x942
0x241aB0x942	0x2423B0x942
0x24e4B0x24deB0x2435B0x942	0x24edB0x24deB0x2435B0x942
0x23c7B0x1d25	0x23f8B0x1d25
0x2408B0x1d25	0x2417B0x1d25
0x241aB0x1d25	0x2423B0x1d25
0x24e4B0x24deB0x2435B0x1d25	0x24edB0x24deB0x2435B0x1d25
0xe76B0x374	0xebdB0x374
0xb71B0x374	0xbc3B0x374
0xbdaB0x374	0xbf1B0x374
0xbf2B0x374	0xbf9B0x374
0xc10B0x374	0xc45B0x374
0xc5cB0x374	0xc6eB0x374
0xc6fB0x374	0xc74B0x374
0xd39B0x374	0xd5dB0x374
0xd5eB0x374	0xd80B0x374
0xe5dB0x374	0xe6fB0x374
0xdf8B0x374	0xdffB0x374
0xe12B0x374	0xe1eB0x374
0xe70B0x374	0xe76B0x374
0xefbB0x374	0xf10B0x374
0xf1bB0x374	0xf21B0x374
0x1ed8B0xb69B0x374	0x1ee4B0xb69B0x374
0x2445B0xc74B0x374	0x245fB0xc74B0x374
0x2465B0xc74B0x374	0x246eB0xc74B0x374
0x24feB0x24f8B0x249aB0xc74B0x374	0x2507B0x24f8B0x249aB0xc74B0x374
0x2445B0xd1dB0x374	0x245fB0xd1dB0x374
0x2465B0xd1dB0x374	0x246eB0xd1dB0x374
0x24feB0x24f8B0x249aB0xd1dB0x374	0x2507B0x24f8B0x249aB0xd1dB0x374
0x205aB0xfd0	0x205fB0xfd0
0x205aB0x13f6	0x205fB0x13f6
0x205aB0x171d	0x205fB0x171d
0x205aB0x17bd	0x205fB0x17bd
0x205aB0x1a53	0x205fB0x1a53
0x205aB0x1e45	0x205fB0x1e45
0x1ffeB0xfc2	0x2004B0xfc2
0x22c3B0x220aB0x1fe0B0xfc2	0x22c8B0x220aB0x1fe0B0xfc2
0x205aB0x15bdB0x5e2	0x205fB0x15bdB0x5e2
0x205aB0x134dB0x461	0x205fB0x134dB0x461
0x205aB0x1497B0x54d	0x205fB0x1497B0x54d
0x205aB0x153bB0x582	0x205fB0x153bB0x582
0x205aB0x1689B0x66c	0x205fB0x1689B0x66c
0x205aB0x1781B0x701	0x205fB0x1781B0x701
0x205aB0x19c2B0x804	0x205fB0x19c2B0x804
