0x2dc
0x2e1
0x2fe
0x303
0x310
0x334
0x354
0x374
0x394
0x3b4
0x3d4
0x3f4
0x414
0x419
0x441
0x461
0x481
0x486
0x4ae
0x4ce
0x4d3
0x4f8
0x520
0x525
0x54d
0x582
0x5a2
0x5c2
0x5e2
0x602
0x64c
0x66c
0x68c
0x6ac
0x6cc
0x701
0x736
0x76b
0x770
0x792
0x7e4
0x804
0x824
0x844
0x86c
0x8b6
0x8d8
0x8e3
0x904
0x999
0x9d2
0xa54
0xa64
0xadf
0xb40
0xb69
0xb71
0xd1d
0xd39
0xdda
0xdf8
0xefb
0xf62
0xfa6
0xfd8
0xfe7
0xff5
0x1020
0x102e
0x1077
0x115d
0x1165
0x11ad
0x12bf
0x1339
0x1355
0x1381
0x13fe
0x1489
0x149f
0x14f6
0x1538
0x1543
0x154e
0x1564
0x15c5
0x15f7
0x1664
0x1691
0x16bf
0x1714
0x1725
0x1776
0x1789
0x17c5
0x17d4
0x17ff
0x184d
0x19ca
0x1a1b
0x1a5b
0x1a6a
0x1a96
0x1aa4
0x1b02
0x1b2c
0x1b37
0x1c29
0x1cd3
0x1d25
0x1d7d
0x1db9
0x1e4d
0x1e5c
0x1e88
0x1ed0
0x1f30
0x1f45
0x1fc0
0x1ffe
0x200b
0x205a
0x2094
0x20a1
0x20f0
0x2129
0x2166
0x21a4
0x22c3
0x2627
0x2662
0x2672
0x2682
0x26b1
0x26c8
0x26f6
0x270d
0x271d
0x2734
0x2779
0x279e
0x286c
0x287b
0x28a1
0x2908
0x2953
0x2962
0x2991
0x29e2
0x29f1
0x2a17
0x2c15
0x2c41
0x2c8d
0x337e
0x339b
0x33ab
