0x0	0xd
0x2fcaB0x2482B0x1d9	0x2fddB0x2482B0x1d9
0x20e3B0x2482B0x1d9	0x20ecB0x2482B0x1d9
0x2097B0x2482B0x1d9	0x20a4B0x2482B0x1d9
0x2f9dB0x20b6B0x2482B0x1d9	0x2fbcB0x20b6B0x2482B0x1d9
0x319aB0x2082B0x20ecB0x2482B0x1d9	0x31a1B0x2082B0x20ecB0x2482B0x1d9
0x85aB0x2ef	0x870B0x2ef
0x879B0x2ef	0x87fB0x2ef
0x88fB0x2ef	0x894B0x2ef
0x8ceB0x2ef	0x8e9B0x2ef
0x930B0x2ef	0x937B0x2ef
0x95fB0x343	0x9b70x95fB0x343
0x9f10x95fB0x343	0xa3c0x95fB0x343
0x2455B0x43f	0x2464B0x43f
0x2468B0x43f	0x247eB0x43f
0x248eB0x43f	0x24a7B0x43f
0x21c1B0x24abB0x43f	0x21e2B0x24abB0x43f
0x301aB0x24abB0x43f	0x302dB0x24abB0x43f
0x21e9B0x24abB0x43f	0x21f2B0x24abB0x43f
0x219dB0x24abB0x43f	0x21aaB0x24abB0x43f
0x2f9dB0x21bcB0x24abB0x43f	0x2fbcB0x21bcB0x24abB0x43f
0x31dfB0x2312B0x21f2B0x24abB0x43f	0x31e6B0x2312B0x21f2B0x24abB0x43f
0x20bbB0x2482B0x43f	0x20dcB0x2482B0x43f
0x2fcaB0x2482B0x43f	0x2fddB0x2482B0x43f
0x20e3B0x2482B0x43f	0x20ecB0x2482B0x43f
0x2097B0x2482B0x43f	0x20a4B0x2482B0x43f
0x2f9dB0x20b6B0x2482B0x43f	0x2fbcB0x20b6B0x2482B0x43f
0x319aB0x2082B0x20ecB0x2482B0x43f	0x31a1B0x2082B0x20ecB0x2482B0x43f
0x1e89B0x1d32B0x1a19	0x1e8eB0x1d32B0x1a19
0x1ef1B0x1d32B0x1a19	0x1f0dB0x1d32B0x1a19
0x1f33B0x1d32B0x1a19	0x1f3eB0x1d32B0x1a19
0x1f78B0x1d32B0x1a19	0x1f83B0x1d32B0x1a19
0x1f96B0x1d32B0x1a19	0x1f9bB0x1d32B0x1a19
0x3161B0x273dB0x1ec8B0x1d32B0x1a19	0x316aB0x273dB0x1ec8B0x1d32B0x1a19
0x3146B0x273dB0x1ec8B0x1d32B0x1a19	0x314fB0x273dB0x1ec8B0x1d32B0x1a19
0x24c1B0x1f83B0x1d32B0x1a19	0x24cfB0x1f83B0x1d32B0x1a19
0x31b1B0x2220B0x24d3B0x1f83B0x1d32B0x1a19	0x31b8B0x2220B0x24d3B0x1f83B0x1d32B0x1a19
0x1e89B0x1e03B0x1cb8	0x1e8eB0x1e03B0x1cb8
0x1ef1B0x1e03B0x1cb8	0x1f0dB0x1e03B0x1cb8
0x1f33B0x1e03B0x1cb8	0x1f3eB0x1e03B0x1cb8
0x1f78B0x1e03B0x1cb8	0x1f83B0x1e03B0x1cb8
0x1f96B0x1e03B0x1cb8	0x1f9bB0x1e03B0x1cb8
0x3161B0x273dB0x1ec8B0x1e03B0x1cb8	0x316aB0x273dB0x1ec8B0x1e03B0x1cb8
0x3146B0x273dB0x1ec8B0x1e03B0x1cb8	0x314fB0x273dB0x1ec8B0x1e03B0x1cb8
0x24c1B0x1f83B0x1e03B0x1cb8	0x24cfB0x1f83B0x1e03B0x1cb8
0x31b1B0x2220B0x24d3B0x1f83B0x1e03B0x1cb8	0x31b8B0x2220B0x24d3B0x1f83B0x1e03B0x1cb8
0x25dfB0x470	0x25f3B0x470
0x2638B0x470	0x2651B0x470
0x31dfB0x2312B0x25f7B0x470	0x31e6B0x2312B0x25f7B0x470
