0x0	0xd
0x34ddB0x2ab8B0x640	0x34e7B0x2ab8B0x640
0x2846B0x660	0x2855B0x660
0x34c8B0x2858B0x660	0x34d9B0x2858B0x660
0x2736B0x680	0x2744B0x680
0x26b1B0x2747B0x680	0x26c4B0x2747B0x680
0x2751B0x6c2	0x2760B0x6c2
0x26b1B0x2763B0x6c2	0x26c4B0x2763B0x6c2
0x26b1B0x276dB0x6c2	0x26c4B0x276dB0x6c2
0x299aB0x704	0x29acB0x704
0x2725B0x29afB0x704	0x2732B0x29afB0x704
0x270eB0x29b9B0x704	0x2721B0x29b9B0x704
0x26b1B0x29c8B0x704	0x26c4B0x29c8B0x704
0x2736B0x75a	0x2744B0x75a
0x26b1B0x2747B0x75a	0x26c4B0x2747B0x75a
0x34beB0x345aB0xb59	0x34c7B0x345aB0xb59
0x233eB0x2159	0x234fB0x2159
0x2357B0x2159	0x235dB0x2159
0x2365B0x2159	0x236aB0x2159
0x2381B0x2159	0x2394B0x2159
0x21920x233eB0x2159	0x21990x233eB0x2159
0x28d8B0x256	0x28eaB0x256
0x28f7B0x256	0x2915B0x256
0x2725B0x28edB0x256	0x2732B0x28edB0x256
0x26d9B0x2918B0x256	0x26ecB0x2918B0x256
0x26efB0x2918B0x256	0x2703B0x2918B0x256
0x26c8B0x2918B0x256	0x26d6B0x2918B0x256
0x28d8B0x73b	0x28eaB0x73b
0x28f7B0x73b	0x2915B0x73b
0x2725B0x28edB0x73b	0x2732B0x28edB0x73b
0x26d9B0x2918B0x73b	0x26ecB0x2918B0x73b
0x26efB0x2918B0x73b	0x2703B0x2918B0x73b
0x26c8B0x2918B0x73b	0x26d6B0x2918B0x73b
0x24e8B0x2323B0x2071	0x2500B0x2323B0x2071
0x251bB0x2323B0x2071	0x2537B0x2323B0x2071
0x2538B0x2323B0x2071	0x2567B0x2323B0x2071
0x2500B0x2323B0x2071	0x251aB0x2323B0x2071
0x903B0x286	0x912B0x286
0x929B0x286	0x93bB0x286
0x93fB0x286	0x958B0x286
0xc72B0x30d	0xc81B0x30d
0x2009B0xc98B0x30d	0x2025B0xc98B0x30d
0x204bB0xc98B0x30d	0x2055B0xc98B0x30d
0x34a9B0x2b9fB0xc98B0x30d	0x34b2B0x2b9fB0xc98B0x30d
0x3491B0x2b9fB0xc98B0x30d	0x349aB0x2b9fB0xc98B0x30d
0xcacB0x331	0xcc5B0x331
0xd4fB0x371	0xd60B0x371
0xd68B0x371	0xd6eB0x371
0xd76B0x371	0xd7bB0x371
0xd92B0x371	0xda5B0x371
0xe31B0x371	0xe38B0x371
0x10e5B0x4ac	0x10f4B0x4ac
0x11caB0x582	0x11d9B0x582
0x123eB0x582	0x1254B0x582
0x1258B0x582	0x1263B0x582
0x1b9aB0x6d1	0x1ba9B0x6d1
0x1becB0x6d1	0x1c02B0x6d1
0x1c06B0x6d1	0x1c11B0x6d1
0x1c43B0x713	0x1c87B0x713
0x1c88B0x713	0x1c92B0x713
0x22e9B0x1d25	0x22f7B0x1d25
0x24aaB0x230eB0x1f76	0x24afB0x230eB0x1f76
0xeceB0x420	0xeddB0x420
0xf0cB0x420	0xf11B0x420
0x1999B0x64f	0x19a1B0x64f
0x17ddB0x64f	0x17e2B0x64f
0x17f9B0x64f	0x1805B0x64f
0x1858B0x64f	0x18a2B0x64f
0x18a3B0x64f	0x18a9B0x64f
0x18c0B0x64f	0x18d3B0x64f
0x1902B0x64f	0x1918B0x64f
0x191cB0x64f	0x1927B0x64f
0x1969B0x64f	0x197fB0x64f
0x1983B0x64f	0x1991B0x64f
0x1994B0x64f	0x1999B0x64f
0x34a9B0x2c76B0x64f	0x34b2B0x2c76B0x64f
0x3491B0x2c76B0x64f	0x349aB0x2c76B0x64f
0x34beB0x345aB0x1a16B0x64f	0x34c7B0x345aB0x1a16B0x64f
0x1aa3B0x68f	0x1ab2B0x68f
0x1ae1B0x68f	0x1ae7B0x68f
0x1b08B0x68f	0x1b0eB0x68f
0x1373B0x60f	0x1378B0x60f
0x138fB0x60f	0x139bB0x60f
0x13b2B0x60f	0x13d0B0x60f
0x142cB0x60f	0x146bB0x60f
0x146cB0x60f	0x1476B0x60f
0x1477B0x60f	0x14c1B0x60f
0x14c2B0x60f	0x14c9B0x60f
0x14e0B0x60f	0x14efB0x60f
0x14f0B0x60f	0x14f7B0x60f
0x1518B0x60f	0x151eB0x60f
0x1535B0x60f	0x1543B0x60f
0x1544B0x60f	0x154bB0x60f
0x1607B0x60f	0x1615B0x60f
0x15caB0x60f	0x15d8B0x60f
0x1616B0x60f	0x161cB0x60f
0x16d4B0x60f	0x1712B0x60f
0x1683B0x60f	0x16a5B0x60f
0x1713B0x60f	0x178dB0x60f
0x178eB0x60f	0x1795B0x60f
