0xe0
0xe1
0x1e3
0x1e4
0x1e5
0x1e6
0x1e7
0x1e8
0x1e9
0x3e3
0x3e4
0x3e6
0x3e7
0x3e8
0x3e9
0x3ea
0x3eb
0x3ec
0x3ed
0x3ee
0x3ef
0x3f0
0x3f1
0x5a6
0x5a7
0x5a8
0x5a9
0x5aa
0x5ab
0x5ac
0x5ad
0x5ae
0x67d
0x67e
0x67f
0x680
0x681
0x682
0xb80
0xb81
0xb82
0xb83
0xb84
0xb85
0xb86
0xb87
0xb88
0xb89
0xbaa
0xbab
0xbae
0xbe4
0xbe5
0xbe6
0xbe7
0xbe8
0xbe9
0xbea
0xbeb
0xbec
0xbed
0xbee
0xbef
0xbf0
0xd43
0xd44
0xd45
0xd46
0xd47
0xd48
0xd49
0xd4a
0xd4b
0xd4c
0xd4d
0xd4e
0x11a5
0x11a6
0x11ab
0x11ad
0x11ae
0x11b0
0x11b1
0x11b3
0x11b5
0x11b6
0x11b8
0x11ba
0x11bb
0x11bc
0x11c1
0x11c3
0x11c4
0x11c6
0x11c7
0x11c9
0x11cb
0x11cc
0x11ce
0x11d0
