0x0	0xd
0x48f3B0x4e88B0x661	0x4904B0x4e88B0x661
0x4e55B0x4e98B0x661	0x4e66B0x4e98B0x661
0x4f36B0x694	0x4f45B0x694
0x48f3B0x4f49B0x694	0x4904B0x4f49B0x694
0x48f3B0x4f54B0x694	0x4904B0x4f54B0x694
0x493eB0x6e9	0x494dB0x6e9
0x48f3B0x4951B0x6e9	0x4904B0x4951B0x6e9
0x4feaB0x9f4	0x4ff8B0x9f4
0x48f3B0x4ffcB0x9f4	0x4904B0x4ffcB0x9f4
0x4feaB0xdb2	0x4ff8B0xdb2
0x48f3B0x4ffcB0xdb2	0x4904B0x4ffcB0xdb2
0x4feaB0xe7d	0x4ff8B0xe7d
0x48f3B0x4ffcB0xe7d	0x4904B0x4ffcB0xe7d
0x1694B0x117aB0x1203	0x16aaB0x117aB0x1203
0x227eB0x17f2B0x1225	0x228dB0x17f2B0x1225
0x223cB0x17f2B0x1225	0x2254B0x17f2B0x1225
0x2274B0x17f2B0x1225	0x227eB0x17f2B0x1225
0x22d9B0x17f2B0x1225	0x22e3B0x17f2B0x1225
0x2294B0x17f2B0x1225	0x22b0B0x17f2B0x1225
0x4f7aB0x51b2B0x1391	0x4f83B0x51b2B0x1391
0x4f7aB0x51b2B0x15f8	0x4f83B0x51b2B0x15f8
0x4feaB0x28f3	0x4ff8B0x28f3
0x48f3B0x4ffcB0x28f3	0x4904B0x4ffcB0x28f3
0x4feaB0x3bcf	0x4ff8B0x3bcf
0x48f3B0x4ffcB0x3bcf	0x4904B0x4ffcB0x3bcf
0x4feaB0x3d64	0x4ff8B0x3d64
0x48f3B0x4ffcB0x3d64	0x4904B0x4ffcB0x3d64
0x4feaB0x3e6b	0x4ff8B0x3e6b
0x48f3B0x4ffcB0x3e6b	0x4904B0x4ffcB0x3e6b
0x4feaB0x41a3	0x4ff8B0x41a3
0x48f3B0x4ffcB0x41a3	0x4904B0x4ffcB0x41a3
0x4feaB0x42c6	0x4ff8B0x42c6
0x48f3B0x4ffcB0x42c6	0x4904B0x4ffcB0x42c6
0x4feaB0x434b	0x4ff8B0x434b
0x48f3B0x4ffcB0x434b	0x4904B0x4ffcB0x434b
0x48f3B0x4fdfB0x563c	0x4904B0x4fdfB0x563c
0x48f3B0x4fdfB0x5655	0x4904B0x4fdfB0x5655
0x48f3B0x4fdfB0x5666	0x4904B0x4fdfB0x5666
0x49d1B0x55e7B0x5677	0x49dcB0x55e7B0x5677
0x48f3B0x4fdfB0x5692	0x4904B0x4fdfB0x5692
0x4feaB0x37ea0x36ee	0x4ff8B0x37ea0x36ee
0x48f3B0x4ffcB0x37ea0x36ee	0x4904B0x4ffcB0x37ea0x36ee
0x78eB0x271	0x7aaB0x271
0x118fB0x7aaB0x271	0x11abB0x7aaB0x271
0x866B0x3b0	0x877B0x3b0
0x4971B0x4992B0x49beB0x9d4d3	0x497aB0x4992B0x49beB0x9d4d3
0x4ce9B0x504	0x4cf2B0x504
0x4971B0x4992B0x4c81B0x504	0x497aB0x4992B0x4c81B0x504
0x4971B0x4992B0x4ca1B0x504	0x497aB0x4992B0x4ca1B0x504
0x4971B0x4992B0x49beB0xe6928	0x497aB0x4992B0x49beB0xe6928
0x4d47B0x641	0x4d56B0x641
0x4d5aB0x641	0x4d6dB0x641
0x4d71B0x641	0x4d81B0x641
0x4d93B0x641	0x4daeB0x641
0x4dceB0x641	0x4de1B0x641
0x4deeB0x641	0x4dfbB0x641
0x4a41B0x641	0x4a5cB0x641
0x4e00B0x641	0x4e0dB0x641
0x4db6B0x641	0x4dbfB0x641
0x4dbfB0x641	0x4dc9B0x641
0x4aaeB0x1004aaB0x641	0x4acfB0x1004aaB0x641
0x4d39B0x4e22B0x641	0x4d43B0x4e22B0x641
0x4adeB0x4d85B0x641	0x4af0B0x4d85B0x641
0x4b2dB0x4e12B0x641	0x4b3dB0x4e12B0x641
0x4b01B0x4e12B0x641	0x4b13B0x4e12B0x641
0x4aaeB0x4b1aB0x4e12B0x641	0x4acfB0x4b1aB0x4e12B0x641
0x10feB0x11f9	0x1103B0x11f9
0x43b4B0x36ee	0x43c7B0x36ee
0x43caB0x36ee	0x43cfB0x36ee
0x4409B0x36ee	0x440fB0x36ee
0x4470B0x36ee	0x449eB0x36ee
0x451bB0x36ee	0x454aB0x36ee
0x4574B0x36ee	0x457aB0x36ee
0x45b3B0x36ee	0x45e2B0x36ee
0x44d3B0x36ee	0x44e7B0x36ee
0x440fB0x36ee	0x442bB0x36ee
0x45e2B0x36ee	0x4611B0x36ee
0x37cd0x43b4B0x36ee	0x37e10x43b4B0x36ee
0x37920x43b4B0x36ee	0x37980x43b4B0x36ee
0x4feaB0x44f0B0x36ee	0x4ff8B0x44f0B0x36ee
0x48f3B0x4ffcB0x44f0B0x36ee	0x4904B0x4ffcB0x44f0B0x36ee
0x4feaB0x37ea0x43b4B0x36ee	0x4ff8B0x37ea0x43b4B0x36ee
0x48f3B0x4ffcB0x37ea0x43b4B0x36ee	0x4904B0x4ffcB0x37ea0x43b4B0x36ee
0x4b7eB0x4f06	0x4b99B0x4f06
0x4bc0B0x4f06	0x4bcdB0x4f06
0x4ba1B0x4f06	0x4baaB0x4f06
0x4b58B0x4f06	0x4b65B0x4f06
0x4baaB0x4f06	0x4bbbB0x4f06
0x4aaeB0x100464B0x4f06	0x4acfB0x100464B0x4f06
0x4adeB0x4b69B0x4f06	0x4af0B0x4b69B0x4f06
0x4b2dB0x4bd2B0x4f06	0x4b3dB0x4bd2B0x4f06
0x4b01B0x4bd2B0x4f06	0x4b13B0x4bd2B0x4f06
0x4aaeB0x4b1aB0x4bd2B0x4f06	0x4acfB0x4b1aB0x4bd2B0x4f06
0x9640x8fbB0x3fd	0x9780x8fbB0x3fd
0x93b0x8fbB0x3fd	0x9430x8fbB0x3fd
0x9340x8fbB0x3fd	0x93b0x8fbB0x3fd
0x4bfcB0x47c	0x4c10B0x47c
0x4c26B0x47c	0x4c3eB0x47c
0x4c4eB0x47c	0x4c63B0x47c
0x49d1B0x4c14B0x47c	0x49dcB0x4c14B0x47c
0x49f2B0x4c42B0x47c	0x4a05B0x4c42B0x47c
0x4a09B0x4c42B0x47c	0x4a20B0x4c42B0x47c
0x49e0B0x4c42B0x47c	0x49eeB0x4c42B0x47c
0x4b7eB0x4c67B0x47c	0x4b99B0x4c67B0x47c
0x4bc0B0x4c67B0x47c	0x4bcdB0x4c67B0x47c
0x4ba1B0x4c67B0x47c	0x4baaB0x4c67B0x47c
0x4b58B0x4c67B0x47c	0x4b65B0x4c67B0x47c
0x4baaB0x4c67B0x47c	0x4bbbB0x4c67B0x47c
0x4aaeB0x100464B0x4c67B0x47c	0x4acfB0x100464B0x4c67B0x47c
0x4adeB0x4b69B0x4c67B0x47c	0x4af0B0x4b69B0x4c67B0x47c
